date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:26:21	54753/54753	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202020%2009:10:37%20GMT	https://templatemanja.com/tashan/demo/index.html	E:/javascript/Tashan/templatemanja.com/tashan/demo/index.html	(from )
22:26:22	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Mar%202023%2016:56:40%20GMT	https://templatemanja.com/robots.txt		(from )
22:26:24	1774/1774	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2018:14:08%20GMT	https://templatemanja.com/tashan/demo/assets/images/favicon.png	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/images/favicon.png	(from https://templatemanja.com/tashan/demo/index.html)
22:26:26	73029/73029	---M--	200	added ('OK')	text/css	date:Wed,%2028%20Aug%202019%2000:05:12%20GMT	https://templatemanja.com/tashan/demo/assets/css/animate.css	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/css/animate.css	(from https://templatemanja.com/tashan/demo/index.html)
22:26:28	155764/155764	---M--	200	added ('OK')	text/css	date:Fri,%2008%20Mar%202019%2001:08:22%20GMT	https://templatemanja.com/tashan/demo/assets/bootstrap/css/bootstrap.min.css	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/bootstrap/css/bootstrap.min.css	(from https://templatemanja.com/tashan/demo/index.html)
22:26:28	54591/54591	---M--	200	added ('OK')	text/css	date:Wed,%2028%20Aug%202019%2000:05:14%20GMT	https://templatemanja.com/tashan/demo/assets/css/all.min.css	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/css/all.min.css	(from https://templatemanja.com/tashan/demo/index.html)
22:26:30	51295/51295	---M--	200	added ('OK')	text/css	date:Wed,%2028%20Aug%202019%2000:05:12%20GMT	https://templatemanja.com/tashan/demo/assets/css/ionicons.min.css	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/css/ionicons.min.css	(from https://templatemanja.com/tashan/demo/index.html)
22:26:31	17531/17531	---M--	200	added ('OK')	text/css	date:Wed,%2028%20Aug%202019%2000:05:08%20GMT	https://templatemanja.com/tashan/demo/assets/css/themify-icons.css	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/css/themify-icons.css	(from https://templatemanja.com/tashan/demo/index.html)
22:26:35	1134/1134	---M--	200	added ('OK')	text/css	date:Sun,%2008%20Mar%202020%2002:26:54%20GMT	https://templatemanja.com/tashan/demo/assets/css/flaticon.css	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/css/flaticon.css	(from https://templatemanja.com/tashan/demo/index.html)
22:26:36	58265/58265	---M--	200	added ('OK')	text/css	date:Thu,%2003%20Oct%202019%2016:33:24%20GMT	https://templatemanja.com/tashan/demo/assets/css/linearicons.css	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/css/linearicons.css	(from https://templatemanja.com/tashan/demo/index.html)
22:26:37	3016/3016	---M--	200	added ('OK')	text/css	date:Mon,%2018%20Jun%202018%2021:10:20%20GMT	https://templatemanja.com/tashan/demo/assets/owlcarousel/css/owl.carousel.min.css	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/owlcarousel/css/owl.carousel.min.css	(from https://templatemanja.com/tashan/demo/index.html)
22:26:38	1764/1764	---M--	200	added ('OK')	text/css	date:Mon,%2018%20Jun%202018%2021:10:18%20GMT	https://templatemanja.com/tashan/demo/assets/owlcarousel/css/owl.theme.css	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/owlcarousel/css/owl.theme.css	(from https://templatemanja.com/tashan/demo/index.html)
22:26:40	1018/1018	---M--	200	added ('OK')	text/css	date:Thu,%2005%20Jul%202018%2016:18:56%20GMT	https://templatemanja.com/tashan/demo/assets/owlcarousel/css/owl.theme.default.min.css	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/owlcarousel/css/owl.theme.default.min.css	(from https://templatemanja.com/tashan/demo/index.html)
22:26:41	1776/1776	---M--	200	added ('OK')	text/css	date:Wed,%2027%20Nov%202019%2012:25:18%20GMT	https://templatemanja.com/tashan/demo/assets/css/slick.css	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/css/slick.css	(from https://templatemanja.com/tashan/demo/index.html)
22:26:43	3145/3145	---M--	200	added ('OK')	text/css	date:Wed,%2027%20Nov%202019%2012:25:18%20GMT	https://templatemanja.com/tashan/demo/assets/css/slick-theme.css	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/css/slick-theme.css	(from https://templatemanja.com/tashan/demo/index.html)
22:26:44	7302/7302	---M--	200	added ('OK')	text/css	date:Wed,%2028%20Aug%202019%2000:05:10%20GMT	https://templatemanja.com/tashan/demo/assets/css/magnific-popup.css	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/css/magnific-popup.css	(from https://templatemanja.com/tashan/demo/index.html)
22:26:46	3519/3519	---M--	200	added ('OK')	text/css	date:Wed,%2028%20Aug%202019%2000:05:12%20GMT	https://templatemanja.com/tashan/demo/assets/css/datepicker.min.css	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/css/datepicker.min.css	(from https://templatemanja.com/tashan/demo/index.html)
22:26:48	14294/14294	---M--	200	added ('OK')	text/css	date:Sat,%2015%20Dec%202018%2003:06:56%20GMT	https://templatemanja.com/tashan/demo/assets/css/mdtimepicker.min.css	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/css/mdtimepicker.min.css	(from https://templatemanja.com/tashan/demo/index.html)
22:26:50	153079/153079	---M--	200	added ('OK')	text/css	date:Fri,%2013%20Mar%202020%2020:38:34%20GMT	https://templatemanja.com/tashan/demo/assets/css/style.css	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/css/style.css	(from https://templatemanja.com/tashan/demo/index.html)
22:26:51	30773/30773	---M--	200	added ('OK')	text/css	date:Thu,%2012%20Mar%202020%2016:12:24%20GMT	https://templatemanja.com/tashan/demo/assets/css/responsive.css	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/css/responsive.css	(from https://templatemanja.com/tashan/demo/index.html)
22:26:52	3181/3181	---M--	200	added ('OK')	text/css	date:Fri,%2013%20Mar%202020%2016:10:44%20GMT	https://templatemanja.com/tashan/demo/assets/color/theme-red.css	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/color/theme-red.css	(from https://templatemanja.com/tashan/demo/index.html)
22:26:53	3652/3652	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2016:42:22%20GMT	https://templatemanja.com/tashan/demo/assets/images/logo_light.png	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/images/logo_light.png	(from https://templatemanja.com/tashan/demo/index.html)
22:26:56	3638/3638	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2018:27:56%20GMT	https://templatemanja.com/tashan/demo/assets/images/logo_dark.png	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/images/logo_dark.png	(from https://templatemanja.com/tashan/demo/index.html)
22:26:58	94943/94943	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202020%2009:10:37%20GMT	https://templatemanja.com/tashan/demo/index-2.html	E:/javascript/Tashan/templatemanja.com/tashan/demo/index-2.html	(from https://templatemanja.com/tashan/demo/index.html)
22:26:59	104525/104525	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202020%2009:10:40%20GMT	https://templatemanja.com/tashan/demo/index-3.html	E:/javascript/Tashan/templatemanja.com/tashan/demo/index-3.html	(from https://templatemanja.com/tashan/demo/index.html)
22:27:00	34295/34295	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202020%2009:09:27%20GMT	https://templatemanja.com/tashan/demo/about.html	E:/javascript/Tashan/templatemanja.com/tashan/demo/about.html	(from https://templatemanja.com/tashan/demo/index.html)
22:27:02	39794/39794	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202020%2009:09:26%20GMT	https://templatemanja.com/tashan/demo/about-2.html	E:/javascript/Tashan/templatemanja.com/tashan/demo/about-2.html	(from https://templatemanja.com/tashan/demo/index.html)
22:27:03	28524/28524	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202020%2009:10:37%20GMT	https://templatemanja.com/tashan/demo/gallery.html	E:/javascript/Tashan/templatemanja.com/tashan/demo/gallery.html	(from https://templatemanja.com/tashan/demo/index.html)
22:27:05	28547/28547	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202020%2009:10:35%20GMT	https://templatemanja.com/tashan/demo/gallery-masonry.html	E:/javascript/Tashan/templatemanja.com/tashan/demo/gallery-masonry.html	(from https://templatemanja.com/tashan/demo/index.html)
22:27:06	83/83	---M--	409	error ('Conflict')	text/html	date:Mon,%2013%20Mar%202023%2016:57:29%20GMT	https://templatemanja.com/tashan/demo/contact.html	E:/javascript/Tashan/templatemanja.com/tashan/demo/contact.1c.delayed	(from https://templatemanja.com/tashan/demo/index.html)
22:27:08	29628/29628	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202020%2009:09:34%20GMT	https://templatemanja.com/tashan/demo/book-table.html	E:/javascript/Tashan/templatemanja.com/tashan/demo/book-table.html	(from https://templatemanja.com/tashan/demo/index.html)
22:27:10	25066/25066	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202020%2009:10:40%20GMT	https://templatemanja.com/tashan/demo/login.html	E:/javascript/Tashan/templatemanja.com/tashan/demo/login.html	(from https://templatemanja.com/tashan/demo/index.html)
22:27:11	83/83	---M--	409	error ('Conflict')	text/html	date:Mon,%2013%20Mar%202023%2016:57:34%20GMT	https://templatemanja.com/tashan/demo/register.html	E:/javascript/Tashan/templatemanja.com/tashan/demo/register.20.delayed	(from https://templatemanja.com/tashan/demo/index.html)
22:27:13	6607/6607	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202020%2009:10:34%20GMT	https://templatemanja.com/tashan/demo/coming-soon.html	E:/javascript/Tashan/templatemanja.com/tashan/demo/coming-soon.html	(from https://templatemanja.com/tashan/demo/index.html)
22:27:15	37953/37953	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202020%2009:10:41%20GMT	https://templatemanja.com/tashan/demo/menu.html	E:/javascript/Tashan/templatemanja.com/tashan/demo/menu.html	(from https://templatemanja.com/tashan/demo/index.html)
22:27:17	71481/71481	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202020%2009:10:41%20GMT	https://templatemanja.com/tashan/demo/menu-2.html	E:/javascript/Tashan/templatemanja.com/tashan/demo/menu-2.html	(from https://templatemanja.com/tashan/demo/index.html)
22:27:19	31278/31278	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202020%2009:10:34%20GMT	https://templatemanja.com/tashan/demo/chef.html	E:/javascript/Tashan/templatemanja.com/tashan/demo/chef.html	(from https://templatemanja.com/tashan/demo/index.html)
22:27:20	30305/30305	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202020%2009:10:34%20GMT	https://templatemanja.com/tashan/demo/chef-detail.html	E:/javascript/Tashan/templatemanja.com/tashan/demo/chef-detail.html	(from https://templatemanja.com/tashan/demo/index.html)
